artist_name,popularity_score
Bad Bunny,100
JHAYCO,82
24kGoldn,68
iann dior,68
The Weeknd,94
Ariana Grande,91
KAROL G,88
Justin Bieber,92
Internet Money,66
Gunna,86
Don Toliver,91
NAV,71
BTS,97
ROSALÍA,83
CJ,15
The Kid LAROI,80
Billie Eilish,91
Dua Lipa,87
DaBaby,80
Pop Smoke,76
Shawn Mendes,82
Harry Styles,91
Ed Sheeran,88
Lil Nas X,73
Maluma,86
Taylor Swift,97
Tate McRae,88
Joel Corry,67
MNEK,68
Cardi B,81
Megan Thee Stallion,79
benny blanco,74
Boza,71
Roddy Ricch,76
SZA,88
Sia,84
SAINt JHN,67
Imanbek,67
Miley Cyrus,83
Tones And I,72
Lewis Capaldi,78
Tiësto,81
Rauw Alejandro,89
Anuel AA,89
Myke Towers,86
Juhn,73
Lil Baby,86
Manuel Turizo,82
Sebastian Yatra,78
Guaynaa,63
HVME,58
Sech,79
Daddy Yankee,88
J Balvin,89
Farruko,84
The Neighbourhood,85
Conan Gray,80
Camilo,78
El Alfa,79
MEDUZA,71
Dermot Kennedy,73
Olivia Rodrigo,86
Doja Cat,86
Juice WRLD,87
Young Thug,84
Black Eyed Peas,83
Shakira,88
Sabrina Carpenter,90
Selena Gomez,82
Glass Animals,76
Masked Wolf,61
Travis Scott,90
Lil Tjay,76
6LACK,72
Kali Uchis,84
GIVĒON,79
Rochy RD,61
Nicki Nicole,73
Nathan Evans,66
220 KID,53
ATB,64
Topic,73
A7S,64
Duncan Laurence,65
Drake,97
Bruno Mars,95
Anderson .Paak,77
Silk Sonic,73
Rick Ross,78
Riton,65
Nightcrawlers,66
Mufasa & Hypeman,24
Mufasa,24
Dopamine,46
ROSÉ,78
Daniel Caesar,86
Khalid,83
Chance the Rapper,75
Los Legendarios,50
Wisin,82
Maroon 5,87
Demi Lovato,79
Saweetie,66
Polo G,77
AURORA,74
Young Stoner Life,64
Nio Garcia,69
Flow La Movie,52
Mariah Angeliq,60
Gera MX,76
Christian Nodal,79
RAYE,86
David Guetta,89
DJ Khaled,75
Post Malone,87
Tion Wayne,63
Russ Millions,60
ArrDee,60
E1 (3x3),49
ZT (3x3),47
Bugzy Malone,59
Buni,64
Fivio Foreign,63
Darkoo,60
Trippie Redd,80
Playboi Carti,86
J. Cole,87
Coldplay,89
21 Savage,85
Morray,60
Bas,100
Bella Poarch,60
Måneskin,78
Mr. Naisgai,56
Majestic,64
Boney M.,73
TINI,78
Maria Becerra,78
Lorde,80
Migos,76
Trinidad Cardona,62
Tyler,86
The Creator,86
YoungBoy Never Broke Again,86
Ty Dolla $ign,83
Nicky Jam,83
Crissin,50
Totoy El Frio,16
Natan & Shander,29
Lil Uzi Vert,85
Pharrell Williams,81
42 Dugg,71
Bizarrap,80
Galantis,69
Little Mix,73
Mora,79
Jack Harlow,79
Camila Cabello,80
Stunna Gambino,49
Tiago PZK,74
LIT killah,69
Aventura,80
Sleepy Hallow,71
Marc Seguí,69
Pol Granch,68
Shouse,65
Lizzo,69
Ingratax,51
Tainy,80
Skrillex,77
Kanye West,94
Baby Keem,79
Kendrick Lamar,90
Future,90
Project Pat,67
Lil Durk,80
JAŸ-Z,84
Kid Cudi,80
Tems,83
Yebba,73
Lil Wayne,88
LISA,75
Elton John,83
PNAU,71
Oliver Tree,69
THE ANXIETY,59
WILLOW,72
Tyler Cole,59
CKay,69
Dj Yo!,64
AX'EL,64
Lost Frequencies,77
Calum Scott,73
Jax Jones,69
Charli xcx,85
Julieta Venegas,75
Adele,85
Evaluna Montaner,62
Swedish House Mafia,77
NEIKED,61
Mae Muller,55
DJ Snake,81
Ozuna,88
Rvssian,73
Chris Brown,88
The Walters,69
BoyWithUke,70
Amaarae,64
MOLIY,72
Imagine Dragons,86
JID,75
Arcane,76
League of Legends,76
Phoebe Bridgers,77
ACRAZE,60
Cherish,60
Chris Stapleton,83
GAYLE,60
Mariah Carey,79
Wham!,67
Michael Bublé,73
Bobby Helms,50
Brenda Lee,57
Andy Williams,57
zzoilo,59
Aitana,76
José Feliciano,62
Kelly Clarkson,74
The Ronettes,67
SUGA,74
Jaymes Young,66
Chris Rea,63
Frank Sinatra,77
B. Swanson Quartet,42
Bing Crosby,59
Ken Darby Singers,42
John Scott Trotter & His Orchestra,43
Dean Martin,68
John Lennon,71
Yoko Ono,52
Paul McCartney,72
Shakin' Stevens,52
Band Aid,43
Burl Ives,47
Nat King Cole,68
Carolina Gaitán - La Gaita,57
Mauro Castillo,57
Adassa,57
Rhenzy Feliz,56
Diane Guerrero,58
Stephanie Beatriz,69
Encanto - Cast,60
Xamã,71
Gustah,53
Neo Beats,65
Bagua Records,64
Ava Max,78
Lauren Spencer Smith,68
Jessica Darrow,54
Chencho Corleone,78
The Game,72
Charlie Puth,82
Kodak Black,82
Blessd,83
Justin Quiles,79
Lenny Tavárez,79
Yung Lean,67
Mahmood,59
BLANCO,67
Nicki Minaj,85
Jung Kook,81
Becky G,77
Dove Cameron,71
Dr. Dre,80
Snoop Dogg,83
Eminem,90
Elley Duhé,71
Ruth B.,71
PEDRO SAMPAIO,77
Mc Pedrinho,65
Labrinth,75
Zendaya,69
Frank Ocean,86
