rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,date,tempo,energy,zero_crossing_rate,spectral_centroid,spectral_rolloff,mfcc_1,mfcc_2,chroma_mean,chroma_std,artist_list,feature_count,primary_artist,primary_artist_popularity,max_artist_popularity,monthly_listeners
1,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, JHAYCO",DÁKITI,Rimas Entertainment LLC,1,1,10,31544941,2021-01-07,112.34714673913044,0.1132477074861526,0.0667701933775154,1971.8006839894945,4562.384911882619,-184.321533203125,103.5234146118164,0.3534029424190521,0.2984551787376404,"['Bad Bunny', 'JHAYCO']",2,Bad Bunny,100,100,106142820.0
2,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,1,2,22,23461354,2021-01-07,92.28515625,0.2589161098003387,0.0882103509578173,2224.2536391491553,4641.426100598032,-69.55278015136719,93.77120208740234,0.3368453979492187,0.2998022139072418,"['24kGoldn', 'iann dior']",2,24kGoldn,68,68,10207152.0
3,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,5,58,22981042,2021-01-07,86.1328125,0.3016035854816437,0.0687527966573142,1828.446604557092,3815.9269256119383,-81.8361587524414,109.67313385009766,0.4651106894016266,0.2930152416229248,['The Weeknd'],1,The Weeknd,94,94,115833045.0
4,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,1,6,11,21761667,2021-01-07,143.5546875,0.252849668264389,0.1142411837267801,2918.304971470255,6391.740516686218,-83.48094177246094,60.11861038208008,0.3221188187599182,0.3176602125167846,['Ariana Grande'],1,Ariana Grande,91,91,82159156.0
5,spotify:track:7vrJn5hDSXRmdXoR30KgF1,KAROL G,BICHOTA,UMLE - Latino,3,3,11,21424279,2021-01-07,161.4990234375,0.2544682621955871,0.0682176525009675,1857.7077935308616,3785.685441811387,-138.7794647216797,100.16806030273438,0.3519803583621979,0.3133800029754638,['KAROL G'],1,KAROL G,88,88,50585113.0
6,spotify:track:31qCy5ZaophVA81wtlwLc4,Justin Bieber,Anyone,RBMG/Def Jam,6,-1,1,20640496,2021-01-07,117.45383522727272,0.1729428023099899,0.0582702447755417,1509.7123260541828,3179.418274492671,-207.1869201660156,110.79005432128906,0.317174345254898,0.3091272413730621,['Justin Bieber'],1,Justin Bieber,92,92,98764973.0
7,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,Republic Records,5,8,10,19518134,2021-01-07,107.666015625,0.2206810116767883,0.1190149643841911,2972.368472121535,6354.6949073626165,-88.36527252197266,58.27455139160156,0.3462512195110321,0.3130049705505371,['Ariana Grande'],1,Ariana Grande,91,91,82159156.0
8,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,"Internet Money, Gunna, Don Toliver, NAV",Lemonade (feat. NAV),Internet Money Records / TenThousand Projects,2,11,21,18108073,2021-01-07,135.99917763157896,0.2412014603614807,0.0801799762359713,2362.8476961560896,5119.373210517246,-96.95246887207033,87.05758666992188,0.374696135520935,0.3206707537174225,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",4,Internet Money,66,91,6691137.0
9,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC,2,9,20,17952431,2021-01-07,112.34714673913044,0.1273701786994934,0.0955755747508707,2674.598732645977,6100.050613828488,-135.69888305664062,73.90361022949219,0.418189138174057,0.3048398792743683,['BTS'],1,BTS,97,97,44151721.0
10,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,Rimas Entertainment LLC,2,10,6,17269881,2021-01-07,161.4990234375,0.2113120555877685,0.0866723783983165,2519.8153214955496,5782.552533695942,-123.26853942871094,76.8537368774414,0.3572041988372803,0.3184156417846679,"['Bad Bunny', 'ROSALÍA']",2,Bad Bunny,100,100,106142820.0
11,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,CJ,Whoopty,CJ Music Group/T-Series,11,17,11,16865566,2021-01-07,143.5546875,0.1766215562820434,0.1338559555195433,2695.174185394133,5333.3760831378195,-110.01649475097656,65.93321990966797,0.360937625169754,0.3122006952762604,['CJ'],1,CJ,15,15,5249062.0
12,spotify:track:27OeeYzk6klgBh83TSvGMA,The Kid LAROI,WITHOUT YOU,Columbia,12,18,5,16638846,2021-01-07,123.046875,0.1447967439889907,0.1001955392559984,2370.3977529888707,5083.069263375581,-115.68768310546876,82.77383422851562,0.3069521486759186,0.2970437407493591,['The Kid LAROI'],1,The Kid LAROI,80,80,33465613.0
13,spotify:track:54bFM56PmE4YLRnqpW6Tha,Billie Eilish,Therefore I Am,Darkroom/Interscope Records,2,16,8,15928423,2021-01-07,95.703125,0.2612585425376892,0.0502861660700464,1670.1414867665153,3484.178931646672,-146.3531036376953,107.2873077392578,0.4029799997806549,0.3271743059158325,['Billie Eilish'],1,Billie Eilish,91,91,84316211.0
14,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,14,26,14,15640441,2021-01-07,103.359375,0.2675097584724426,0.0943862395389899,2435.474320371311,5378.29247820119,-47.00382232666016,86.99779510498047,0.4271010458469391,0.3008089065551758,"['Dua Lipa', 'DaBaby']",2,Dua Lipa,87,87,64409897.0
15,spotify:track:1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,Victor Victor Worldwide,6,20,18,14763875,2021-01-07,83.35433467741936,0.1275446265935897,0.1269210012335526,2398.938811448937,4622.030384547939,-176.2406768798828,86.73893737792969,0.3525745868682861,0.3045694231986999,['Pop Smoke'],1,Pop Smoke,76,76,15423490.0
16,spotify:track:1HbA4N1MiOsPthALesGFR1,"Shawn Mendes, Justin Bieber",Monster (Shawn Mendes & Justin Bieber),Shawn Mendes LP4-5 PS/ Island,7,25,7,14538257,2021-01-07,71.77734375,0.1413877010345459,0.1044097994872291,2298.799671624133,4550.647482857246,-201.02198791503903,79.38560485839844,0.3649227619171142,0.3254448175430298,"['Shawn Mendes', 'Justin Bieber']",2,Shawn Mendes,82,92,44933888.0
17,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,4,27,60,14205168,2021-01-07,95.703125,0.2009049206972122,0.1016305267995356,2364.5924106177717,5267.755646602288,-96.95126342773438,88.65882873535156,0.2899615168571472,0.3075088858604431,['Harry Styles'],1,Harry Styles,91,91,70804230.0
18,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq,Ed Sheeran,Afterglow,Atlantic Records UK,18,21,3,14139901,2021-01-07,112.34714673913044,0.1894211918115615,0.0605105940402476,1624.24977010999,3279.7135013544894,-151.38833618164062,110.77754974365234,0.2819827198982239,0.3029364049434662,['Ed Sheeran'],1,Ed Sheeran,88,88,82420429.0
19,spotify:track:6zFMeegAMYQo0mt8rXtrli,Lil Nas X,HOLIDAY,Columbia,19,23,8,13545304,2021-01-07,151.99908088235293,0.2187706977128982,0.1070855202689628,2878.634059767252,6429.390289023196,-100.19060516357422,72.32199096679688,0.4164724946022033,0.3073073029518127,['Lil Nas X'],1,Lil Nas X,73,73,18860186.0
