source,major_label
Rimas Entertainment LLC,2
Records/Columbia,1
Republic Records,1
UMLE - Latino,0
RBMG/Def Jam,1
Internet Money Records / TenThousand Projects,2
BIGHIT MUSIC,2
CJ Music Group/T-Series,2
Columbia,1
Darkroom/Interscope Records,1
Warner Records,1
Victor Victor Worldwide,2
Shawn Mendes LP4-5 PS/ Island,1
Atlantic Records UK,1
Sony Music Latin,0
Taylor Swift,2
RCA Records Label,1
Atlantic/KSR,1
Friends Keep Secrets/Def Jam Recordings/Interscope Records,1
South Coast Music Group/Interscope Records,1
Top Dawg Entertainment/RCA Records,1
Monkey Puzzle/Atlantic,1
Columbia/B1 Recordings,1
Elektra (NEK),1
Vertigo Berlin,1
Atlantic Records,1
Sony Music Latin/Duars Entertainment,1
White World Music,2
Sony Music Latin/La Industria,1
Rich Music,2
Universal-Island Records Ltd.,0
Olivia Rodrigo PS,2
Grade A Productions/Interscope Records,1
Kemosabe Records/RCA Records,1
Epic,1
Island Records,1
Selena Gomez Latin Project,2
Polydor Records,1
Cactus Jack/Epic,1
EMI / Interscope,1
Epic/Not So Fast,1
Intercord,1
"Universal Music, a division of Universal International Music BV",0
OVO,2
Aftermath Entertainment/Atlantic,1
Ministry of Sound Recordings,2
YG Entertainment,2
La Base Music Group/ WK Records,2
Interscope Records*,1
Universal Music LLC,0
ICY/Warner Records,1
Decca (UMO),1
300 Entertainment,2
"Flow La Movie, Inc.",2
Virgin Music México,1
Perfect Havoc / Asylum Records,1
Epic/We The Best,1
"1400 Entertainment, Inc. / 10K Projects",2
"Dreamville, Inc., Under exclusive license to Roc Nation Records",1
Parlophone UK,1
NITRON music,1
"Sueños Globales, LLC",2
Universal Music New Zealand Limited,0
Quality Control Music/Motown Records,1
Run It Up Records/Island,1
Flow La Movie,2
Universal Music Latino,0
DALE PLAY Records,2
Big Beat Records,1
WM Chile,0
XO / Republic Records,1
Winners Circle/RCA Records,1
WEA Latina,0
Hell Beach,2
Nice Life/Atlantic,1
Room28,2
Rock The World/IDJ/Kanye LP7,2
EMI,1
"MSFTSMusic / Roc Nation Records, LLC",1
N&E Entertainment LLC,2
Chocolate City Music,2
WM South Africa,0
Epic Amsterdam,1
Neon16,2
XL Recordings,2
Capitol Records UK / EMI,1
DJ Snake Music Productions Limited,2
0207 Def Jam,1
KIDinaKORNER/Interscope Records,1
Thrive Music,2
Atlantic/Arthouse Records,1
Reprise,1
Geffen,1
MCA Nashville,1
Universal Records,0
Universal Music Spain S.L.,0
Legacy Recordings,1
Rhino,1
Columbia/Legacy,1
Capitol Records,1
EMI Catalogue,1
Paul McCartney Catalog,2
Sony Music CG,0
UMC (Universal Music Catalogue),0
CAPITOL CATALOG MKT (C92),1
Walt Disney Records,2
Bagua Records,2
"Three Name Productions, Inc./ Island Records & Republic Records",1
"100 Entertainment, Inc",2
UME - Global Clearing House,0
Atlantic/Sniper Gang,1
YEAR0001,2
Kid Ina Korner / Interscope,1
Universal Music Italia srL.,0
Disruptor Records/Columbia,1
Aftermath,1
Eminem Catalog PS,1
Not Fit For Society/RCA Records,1
Generation Now/Atlantic,1
"Producciones Ladon, S.A de C.V./Sony Music México",2
WM Brazil,0
Syco Music,1
Red Zone Entertainment / IDJ,2
Sonar LLC.,2
ITNO/Columbia,1
TulusCompany,2
Republic Records - Stray Kids,1
Hollywood Records,1
Universal Music Latino / Asylum Records UK,1
Davi Kneip,2
Roc Nation W Smith P&D,1
Ace Records,2
BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,1
"Genie Music Corporation, Stone Music Entertainment",2
Epic/Freebandz,1
P NATION,2
Justin Bieber 2021 PS/ Def Jam,1
pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,1
Mercury Records/Republic Records,1
Kemosabe Records/RCA Records/Sony Music Latin,1
Fish People,2
Sony Music UK,0
Sony Music Entertainment Chile S.A,0
88rising Music,1
Parkwood Entertainment/Columbia,1
Interscope Records,1
Thirty Knots/Columbia,1
Blackened Recordings / Universal Music,1
L-M Records/RCA Records,1
Central Cee,2
DALE PLAY Records / SSJ Records,2
Sony Music Entertainment India Pvt. Ltd.,0
Nvak Collective,2
The Weeknd/Lyric,2
Chris Brown Entertainment/RCA Records,1
Friends Keep Secrets/Interscope Records,1
DALE PLAY Records / Flakk Team,2
Rimas Entertainment LLC.,2
Loma Vista Recordings,1
Starship Entertainment,2
Domino Recording Co,2
Mavin Records / Jonzing World,2
"Tommy Boy Music, LLC",2
Pablito Pesadilla,2
BorderTown Records,2
Joytime Collective/Grade A Productions/Interscope Records,1
JVKE,2
Black Panther 2 Rihanna Recordings,2
Aura Music Corp.,2
OVO / Republic Records,1
Roc Nation/Def Jam/Hollywood,1
Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,2
Interscope,1
Human Re Sources,2
ADOR,2
Warner Music India,0
Jive,1
Rancho Humilde/Street Mob Records,2
La Leyenda LLC,2
THEBLACKLABEL,2
BorderKid Records/Sony Music Latin,1
Som Livre,2
Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT,2
Morgan Wallen,2
Universal Music Ltda.,0
Mosley Music/Interscope Records,1
Uptown / Republic Records,1
Tha Lights Global,2
Harbour Artists & Music,2
Sony Music Argentina,0
AgroPlay,2
"Babilonia Music, S.A. De C.V.",2
5020 Records,2
DEL Records,2
Universal Music Argentina S.A.,0
Rancho Humilde,2
Columbia Records/Duars Entertainment/Sony Music Latin,1
WM Mexico,0
SME Korea Inc.,0
OVO/Republic Records,1
Street Mob Records/PFL/Geffen Records,1
Miserable Music Group,2
Worms Music,2
Geffen Records,1
5K Records Limited,2
Universal Music AB,0
WM Finland,0
Alamo,1
Lumbre Music/Columbia,1
APG Inc – FF10,2
Neighbourhood Records (UMG UK / UMUK),0
Sony Music Entertainment,0
Double P Records,2
Black Butter,2
"NEON16, LLC",2
EMI Recorded Music Australia Pty Ltd,1
"Socios Music, LLC",2
Bichota/Interscope Records,1
Oliver Anthony Music/ radiowv,2
Street Mob Records,2
Warner Records/Major Recordings,1
T-Series,2
Acqustic,2
Dead Oceans,2
FAX Records/Epic,1
OVO/Republic,1
Los CT Records,2
Lord Huron,2
Lions Gate Entertainment Inc. under exclusive license to Geffen Records,1
Big Buzz Productions,2
Universal Digital Enterprises,0
Dreamville/Interscope,1
RCA Victor,1
RCA Bluebird,1
2023 Double P Records,2
F-Stop Records/Atlantic,1
"Slaughter Gang, LLC/Epic Records",1
"Night Street Records, Inc./Warner Records Inc.",1
'94 Sounds/RCA Records,1
Hot Girl Productions,2
"Badsin Records, LLC",2
YG Marley Music,2
YZY,2
Warner Music,0
Djo,2
FloyyMenor under exclusive license to UnitedMasters LLC,2
Pablo Nunes,2
TrapSoul/RCA Records,1
Internet Money Records / 10K Projects,2
Hypers,2
Wilburn Holding Co./Boominati/Epic/Republic,1
Rubyworks / Universal-Island Records Ltd,1
Artemas,2
BELIFT LAB,2
"Hundred Days Records, LLC",2
"Cole World, Inc. under exclusive license to Interscope Records",1
Richy Mitch & The Coal Miners,2
Columbia/B1 Recordings/Ultra Records,1
Artist Partner Group,2
American Dogwood / EMPIRE,2
"Kendrick Lamar, under exclusive license to Interscope Records",1
PULSE Records,2
Chappell Roan PS/ Island,1
Kendrick Lamar under exclusive license to Interscope Records,1
Joost Klein,2
Better Now Records,2
Kartel Music,2
DJ TOPO,2
